ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,ally_tank_count,ally_assassin_count,ally_mage_count,ally_engage_count,ally_cc_count,ally_mobility_count,ally_physical_ratio,ally_magic_ratio,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,hero_is_assassin,hero_is_tank,hero_is_mage,hero_has_engage,hero_has_mobility,hero_has_burst,avg_matchup_win_rate,worst_matchup_win_rate,stage_early,stage_mid,stage_late,counter_label
0,0,1,0,0.3,1,0,1,1,1,0,0.0,1.0,528.9328093763952,1.915760669385273,32.55109194046264,11.5,88.65384615384616,2.0138674346598977,0,0,0,0,0,0,1.0,1.0,1,0,0,0
0,0,1,0,0.3,1,0,1,1,1,0,0.0,1.0,4529.490529777914,17.266519118214678,28.049915119782877,3.84375,53.96986054880792,12.81439905033714,0,1,0,1,0,0,1.0,1.0,1,0,0,0
0,0,0,0,0.3,1,0,1,2,2,0,0.0,1.0,5653.56772005378,22.516048438700317,20.238060227561643,2.305555555555556,73.07692307692308,14.462421880739177,0,0,1,0,1,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,2,2,0,0.0,1.0,8073.907191599852,28.98613774394748,31.403769317645303,5.583333333333333,89.13043478260869,16.738343958785023,0,0,0,0,0,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,2,2,0,0.0,1.0,8134.263815820916,30.94012848979761,16.229928066991572,2.916666666666667,81.1698717948718,23.7806652413721,0,0,0,1,0,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,2,2,0,0.0,1.0,528.9328093763952,1.915760669385273,32.55109194046264,11.5,88.65384615384616,2.0138674346598977,0,0,0,0,0,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,2,2,0,0.0,1.0,4529.490529777914,17.266519118214678,28.049915119782877,3.84375,53.96986054880792,12.81439905033714,0,1,0,1,0,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,3,2,0,0.5,0.5,5653.56772005378,22.516048438700317,20.238060227561643,2.305555555555556,73.07692307692308,14.462421880739177,0,0,1,0,1,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,3,2,0,0.5,0.5,8073.907191599852,28.98613774394748,31.403769317645303,5.583333333333333,89.13043478260869,16.738343958785023,0,0,0,0,0,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,3,2,0,0.5,0.5,8134.263815820916,30.94012848979761,16.229928066991572,2.916666666666667,81.1698717948718,23.7806652413721,0,0,0,1,0,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,3,2,0,0.5,0.5,528.9328093763952,1.915760669385273,32.55109194046264,11.5,88.65384615384616,2.0138674346598977,0,0,0,0,0,0,1.0,1.0,0,1,0,0
0,0,0,0,0.3,1,0,1,3,2,0,0.5,0.5,4529.490529777914,17.266519118214678,28.049915119782877,3.84375,53.96986054880792,12.81439905033714,0,1,0,1,0,0,1.0,1.0,0,1,0,0
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,4788.269583052335,17.1405186689969,30.173728484274463,7.333333333333333,53.96825396825397,13.152241609884411,0,1,0,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,6732.57962312945,22.737930849496173,38.31563333993123,11.25,65.48611111111111,15.577507267717378,0,0,1,0,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,514.0750495645852,1.8332598502488748,39.50993950735045,1.5,62.5,2.1799485311096007,0,0,0,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,8975.79424727345,30.02451602685894,30.722105666517976,11.5,73.80952380952382,23.188989905797985,0,0,0,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,7965.048884761611,29.30212837520501,35.704700908200444,6.166666666666667,79.16666666666667,16.92316123786964,0,0,0,0,0,0,0.5,0.5,1,0,0,1
